ticker,name,sector,industry,index,sector_etf
ONTO,Onto Innovation,Information Technology,Semiconductor Materials & Equipment,sp400,XLK
OPCH,Option Care Health,Health Care,Health Care Facilities,sp400,XLV
ORA,Ormat Technologies,Utilities,Renewable Electricity,sp400,XLU
ORI,Old Republic International,Financials,Property & Casualty Insurance,sp400,XLF
OSK,Oshkosh,Industrials,Construction Machinery & Heavy Transportation Equipment,sp400,XLI
OVV,Ovintiv,Energy,Oil & Gas Exploration & Production,sp400,XLE
OZK,Bank OZK,Financials,Regional Banks,sp400,XLF
P,Everpure,Information Technology,"Technology Hardware, Storage & Peripherals",sp400,XLK
PAG,Penske Automotive Group,Consumer Discretionary,Automotive Retail,sp400,XLY
PATH,UiPath,Information Technology,Systems Software,sp400,XLK
PB,Prosperity Bancshares,Financials,Regional Banks,sp400,XLF
PBF,PBF Energy,Energy,Oil & Gas Refining & Marketing,sp400,XLE
PCTY,Paylocity,Industrials,Human Resource & Employment Services,sp400,XLI
PEGA,Pegasystems,Information Technology,Application Software,sp400,XLK
PEN,"Penumbra, Inc.",Health Care,Health Care Equipment,sp400,XLV
PFGC,Performance Food Group,Consumer Staples,Food Distributors,sp400,XLP
PII,Polaris,Consumer Discretionary,Leisure Products,sp400,XLY
PINS,Pinterest,Communication Services,Interactive Home Entertainment,sp400,XLC
PK,Park Hotels & Resorts,Real Estate,Hotel & Resort REITs,sp400,XLRE
PLNT,Planet Fitness,Consumer Discretionary,Leisure Facilities,sp400,XLY
PNFP,Pinnacle Financial Partners,Financials,Regional Banks,sp400,XLF
POR,Portland General Electric,Utilities,Electric Utilities,sp400,XLU
POST,Post Holdings,Consumer Staples,Packaged Foods & Meats,sp400,XLP
PPC,Pilgrim's Pride,Consumer Staples,Packaged Foods & Meats,sp400,XLP
PR,Permian Resources,Energy,Oil & Gas Exploration & Production,sp400,XLE
PRI,Primerica,Financials,Life & Health Insurance,sp400,XLF
PSN,Parsons Corporation,Industrials,Aerospace & Defense,sp400,XLI
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",sp400,XLY
QLYS,Qualys,Information Technology,Systems Software,sp400,XLK
R,Ryder,Industrials,Cargo Ground Transportation,sp400,XLI
RBA,RB Global,Industrials,Diversified Support Services,sp400,XLI
RBC,RBC Bearings,Industrials,Industrial Machinery & Supplies & Components,sp400,XLI
REXR,Rexford Industrial Realty,Real Estate,Industrial REITs,sp400,XLRE
RGA,Reinsurance Group of America,Financials,Reinsurance,sp400,XLF
RGEN,Repligen,Health Care,Biotechnology,sp400,XLV
RGLD,Royal Gold,Materials,Gold,sp400,XLB
RH,RH,Consumer Discretionary,Homefurnishing Retail,sp400,XLY
RLI,RLI Corp.,Financials,Property & Casualty Insurance,sp400,XLF
RMBS,Rambus,Information Technology,Semiconductors,sp400,XLK
RNR,RenaissanceRe,Financials,Reinsurance,sp400,XLF
ROIV,Roivant Sciences,Health Care,Biotechnology,sp400,XLV
ROKU,"Roku, Inc.",Communication Services,Movies & Entertainment,sp400,XLC
RPM,RPM International,Materials,Specialty Chemicals,sp400,XLB
RRC,Range Resources,Energy,Oil & Gas Exploration & Production,sp400,XLE
RRX,Regal Rexnord,Industrials,Electrical Components & Equipment,sp400,XLI
RS,"Reliance, Inc.",Materials,Steel,sp400,XLB
RYAN,Ryan Specialty,Financials,Insurance Brokers,sp400,XLF
RYN,Rayonier,Real Estate,Timber REITs,sp400,XLRE
SAIA,Saia,Industrials,Cargo Ground Transportation,sp400,XLI
SAIC,Science Applications Intl Corp,Industrials,Diversified Support Services,sp400,XLI
SAM,Boston Beer Company,Consumer Staples,Brewers,sp400,XLP
SANM,Sanmina Corporation,Information Technology,Electronic Manufacturing Services,sp400,XLK
SARO,StandardAero,Industrials,Aerospace & Defense,sp400,XLI
SBRA,Sabra Health Care REIT,Real Estate,Health Care REITs,sp400,XLRE
SCI,Service Corp Intl,Consumer Discretionary,Specialized Consumer Services,sp400,XLY
SEIC,SEI Investments Company,Financials,Asset Management & Custody Banks,sp400,XLF
SF,Stifel,Financials,Investment Banking & Brokerage,sp400,XLF
SFM,Sprouts Farmers Market,Consumer Staples,Food Retail,sp400,XLP
SGI,Somnigroup International,Consumer Discretionary,Home Furnishings,sp400,XLY
